,Node,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Centrality,Upper limit,Lower limit,Values
142,845780,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.13829787234042554)]"
143,4328501,Input,networks,Input networks,,,Degree,0.8764875188953408,0.7751082257855103,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.8218085106382979)]"
144,1128776,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.13829787234042554)]"
145,4402900,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.6436170212765957)]"
146,607006,Input,networks,Input networks,,,Degree,0.8764875188953408,0.7751082257855103,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.8218085106382979)]"
147,814176,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.9707446808510638), ('arctic_spiec.graphml', 0.8218085106382979)]"
148,4478413,Input,networks,Input networks,,,Degree,0.8764875188953408,0.7751082257855103,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.8218085106382979)]"
149,4447214,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
150,2285453,Input,networks,Input networks,,,Degree,1.0,0.4790242917285919,"[('arctic_flash.graphml', 0.9893617021276596), ('arctic_spiec.graphml', 0.9148936170212766)]"
151,3174304,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.0797872340425532), ('arctic_spiec.graphml', 0.24202127659574468)]"
152,206565,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.5372340425531915)]"
153,4405449,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.9148936170212766)]"
154,248618,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.8803191489361702)]"
155,542933,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.5372340425531915)]"
156,1002658,Input,networks,Input networks,,,Degree,0.5700953261380022,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.24202127659574468)]"
157,1141687,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.8218085106382979)]"
158,978664,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.38563829787234044)]"
159,804187,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.9521276595744681)]"
160,222768,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.38563829787234044)]"
161,792450,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.13829787234042554)]"
162,1133624,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.7340425531914894)]"
