,Node,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Centrality,Upper limit,Lower limit,Values
126,1142733,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.9310344827586207), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
127,544990,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
128,1133738,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.6551724137931034), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
129,222768,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
130,4382894,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
131,257891,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.5344827586206896), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
132,4424785,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.3448275862068966), ('arctic_genus_spiec.graphml', 0.7586206896551724)]"
133,161623,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.4827586206896552), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
134,4465309,Input,anuran,Input networks,,,Betweenness,0.5639000816626225,0.1257550907511707,"[('arctic_genus_flash.graphml', 0.3275862068965517), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
135,0,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.7241379310344828), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
136,276290,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.16379310344827586), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
137,206038,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.5172413793103449), ('arctic_genus_spiec.graphml', 0.8103448275862069)]"
138,1011380,Input,anuran,Input networks,,,Betweenness,1,0,"[('arctic_genus_flash.graphml', 0.46551724137931033), ('arctic_genus_spiec.graphml', 0.3620689655172414)]"
