,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
164,Degree,sponges_networks,Degree networks,,,Intersection 0.3,20,3.0,10.0
165,Degree,sponges_networks,Degree networks,,,Intersection 0.5,1,5.0,10.0
166,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
167,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
168,Random,sponges_networks,Random networks,,,Difference,869,,10.0
169,Random,sponges_networks,Random networks,,,Intersection 0.2,110,2.0,10.0
170,Random,sponges_networks,Random networks,,,Intersection 0.3,11,3.0,10.0
171,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
172,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
173,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
174,Degree,sponges_networks,Degree networks,,,Difference,800,,10.0
175,Degree,sponges_networks,Degree networks,,,Intersection 0.2,141,2.0,10.0
176,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
177,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
178,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
179,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
180,Random,sponges_networks,Random networks,,,Difference,842,,10.0
181,Random,sponges_networks,Random networks,,,Intersection 0.2,122,2.0,10.0
182,Random,sponges_networks,Random networks,,,Intersection 0.3,15,3.0,10.0
183,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
184,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
185,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
186,Degree,sponges_networks,Degree networks,,,Difference,832,,10.0
187,Degree,sponges_networks,Degree networks,,,Intersection 0.2,128,2.0,10.0
188,Degree,sponges_networks,Degree networks,,,Intersection 0.3,11,3.0,10.0
189,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
190,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
191,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
192,Random,sponges_networks,Random networks,,,Difference,868,,10.0
